kind,N,phi,gamma,C,lmax,a0_pred,a0_sim,rel_err,log_phi,log_err,log_N,phi_gamma
ws,30,0.01234567901234568,0.0005131199369723394,0.38555555555555554,4.1309479997848495,0.04034586411529439,0.0387109375,0.04223422941628285,-4.394368157952762,-3.164500585917753,3.4011973816621555,6.334814036695548e-06
ws,30,0.02439024390243903,0.0009266912390164528,0.36666666666666664,4.1158109871525115,0.04049424698726838,0.0425390625,0.048069125000853495,-3.7135310675447846,-3.0350943966874397,3.4011973816621555,2.2602225341864707e-05
ws,30,0.02439024390243903,0.0009377842961986183,0.38333333333333336,4.180309073798449,0.03986946030170553,0.0387109375,0.02992753150722662,-3.7135310675447846,-3.508943022563564,3.4011973816621555,2.2872787712161426e-05
er,39,0.1551244454470261,0.006015500693876463,0.12701742701742702,6.4808790464625865,0.02571667600518439,0.027226562500000002,0.055456376280171756,-1.863521163925462,-2.8921405482408105,3.6635616461296463,0.0009331512092237872
er,40,0.1410055865921788,0.006411696069654971,0.16476648351648351,7.2576142834531705,0.022964387491169722,0.0233984375,0.018550384350676345,-1.9589486762752988,-3.987210864644423,3.6888794541139363,0.0009040849653524665
er,40,0.08801897983392644,0.0030191894945252873,0.12137445887445888,6.869042963651199,0.02426344798665752,0.0233984375,0.036968728645129366,-2.4301914467070747,-3.297655845927199,3.6888794541139363,0.0002657459792334238
er,40,0.13701996927803384,0.00510654481496875,0.16057539682539684,6.24781196473201,0.026676005553220195,0.027226562500000002,0.0202213168401192,-1.987621304442959,-3.9009684903455137,3.6888794541139363,0.0006996986136639211
er,40,0.14930555555555558,0.006036898373511068,0.10863636363636364,6.345053864631426,0.026267179163867994,0.027226562500000002,0.03523703501431768,-1.901753666790394,-3.345629239561952,3.6888794541139363,0.0009013424654894999
er,40,0.09802547770700637,0.0026594780603219625,0.14137085137085137,6.748596265338996,0.024696493924621324,0.0233984375,0.055476201119041516,-2.3225176561200547,-2.891783133275241,3.6888794541139363,0.00026069660731436306
er,40,0.15274086378737542,0.008773709627178494,0.16285714285714287,6.122347039594116,0.027222675485203456,0.027226562500000002,0.00014276553628637332,-1.87900594724349,-8.847326805612974,3.6888794541139363,0.0013401039870748548
er,40,0.09052706552706552,0.005422857591100838,0.10194444444444443,6.292053956700151,0.02648843570217483,0.027226562500000002,0.027110539489705047,-2.402095360031218,-3.6077958303002102,3.6888794541139363,0.0004909153844935303
ba,40,0.3156398104265402,0.012931385571092857,0.16405372405372404,5.503109400730123,0.030285908298416573,0.031054687500000004,0.02475565730885011,-1.1531503877665739,-3.6986608439608952,3.6888794541139363,0.0040816600902122465
ba,40,0.3775862068965517,0.015446039452214233,0.29296918767507,5.5883194488326176,0.029824112274305082,0.031054687500000004,0.03962607016074214,-0.9739537253256448,-3.2282428043451343,3.6888794541139363,0.005832211448336064
ba,40,0.3775862068965517,0.017182291589749044,0.20551820728291315,5.661162992749431,0.029440358258563837,0.027226562500000002,0.0813101455082269,-0.9739537253256448,-2.509472180702399,3.6888794541139363,0.006487796307163863
ba,40,0.4611940298507463,0.0181537646586154,0.3110760073260073,6.124794844869216,0.02721179580509289,0.027226562500000002,0.0005423635432168081,-0.7739342672048273,-7.517731953364724,3.6888794541139363,0.008372407879868895
ba,40,0.31401425178147274,0.016702160844090708,0.09011904761904763,5.3977210288145745,0.030877228700214865,0.031054687500000004,0.005714396571697566,-1.158313721701031,-5.16459159276968,3.6888794541139363,0.005244716540590955
ba,40,0.36666666666666664,0.01547770743001875,0.20481240981240983,5.756555265417598,0.02895250005987325,0.027226562500000002,0.06339168082174342,-1.0032993815947766,-2.758406868655177,3.6888794541139363,0.005675159391006874
ba,40,0.32680652680652683,0.01478089355610801,0.21565656565656566,5.273269135585038,0.03160594735094552,0.031054687500000004,0.017751260609063086,-1.118383884417801,-4.031242412913011,3.6888794541139363,0.004830492486168632
ba,40,0.3868365180467091,0.014713934335517154,0.26788919413919415,5.7635932830346,0.02891714569056384,0.027226562500000002,0.06209315592314813,-0.9497505241225511,-2.779103401988838,3.6888794541139363,0.005691887125119374
ba3,40,0.3259846827133479,0.008237847163183876,0.297547852474323,7.750012828793077,0.02150534074569035,0.0195703125,0.09887569478976649,-1.1209018166370706,-2.3138817123103324,3.6888794541139363,0.002685411993731549
ba3,40,0.2356699751861042,0.007041665175576917,0.1946131646131646,7.00046037497005,0.02380795801124433,0.0233984375,0.017502045221794323,-1.4453186196600958,-4.045380400517156,3.6888794541139363,0.0016595090571970659
ba3,40,0.295137299771167,0.008605186159453604,0.27902533740769037,7.503527794257121,0.02221177441286034,0.0233984375,0.05071548419161156,-1.2203112197170796,-2.9815042892445005,3.6888794541139363,0.0025397114071293555
ba3,40,0.2356699751861042,0.006687455828124689,0.17611346986346985,7.007868735629289,0.023782789454845635,0.0233984375,0.01642639406351961,-1.4453186196600958,-4.108804967941116,3.6888794541139363,0.0015760325490723132
ba3,40,0.3215308370044053,0.008133838890194589,0.2852566877566877,7.476140002387968,0.02229314413767417,0.0233984375,0.04723791331475998,-1.1346587137549868,-3.0525372914154434,3.6888794541139363,0.0026152800264232496
ba3,40,0.2559782608695652,0.007487617148358217,0.2199975024975025,7.238276459945203,0.02302573928875997,0.0233984375,0.01592833757553384,-1.3626588500125034,-4.139592739381554,3.6888794541139363,0.0019166672156938696
ba3,40,0.2959428571428571,0.006985292450911507,0.3167385611464559,7.58664077290709,0.021968440533240437,0.0233984375,0.061115062352328615,-1.2175855144627221,-2.794980561062976,3.6888794541139363,0.0020672474059011824
ba3,40,0.31852876106194683,0.008662815272965974,0.28475025383113617,7.677944428763192,0.02170719887503983,0.0195703125,0.10919020199804322,-1.144039367010494,-2.2146547867005775,3.6888794541139363,0.0027593558162063623
ws,40,0.015384615384615385,0.0006357605733904315,0.4258333333333333,4.107408117518682,0.040577089468127006,0.0425390625,0.04612168008810716,-4.1743222720080455,-3.0764504740791403,3.6888794541139363,9.78093189831433e-06
ws,40,0.01840490797546012,0.0009614407499389799,0.41583333333333333,4.12070267766873,0.0404461762237497,0.0425390625,0.049199163151522264,-3.9950835802813214,-3.0118583394015217,3.6888794541139363,1.769522852648429e-05
