gtype,N,phi,lambda_max,a0_pred,rel_err,log_N,log_phi,log_err
er,299,0.15273030574033922,7.3747022969607965,0.022599782330922295,0.024761094302351155,5.700443573390687,-1.8790750730986785,-3.698441250641355
ba,300,0.5892269442035271,9.117366573320883,0.018280132242830344,0.06092243971270277,5.703782474656201,-0.5289421681531865,-2.798137289766756
ws,300,0.020008166598611675,4.138093180040359,0.04027619954779297,0.013635873041155896,5.703782474656201,-3.911564780498643,-4.294977902030551
er,299,0.15332392234098,7.240227846785215,0.02301953338950093,0.019045245578706595,5.700443573390687,-1.8751959339696147,-3.960885279315325
ba,300,0.5821234045056172,8.62363597483332,0.019326727977973128,0.10259631603723858,5.703782474656201,-0.5410711006466344,-2.2769435060687386
ws,300,0.02439024390243903,4.193665485640756,0.03974247999449137,0.0223349920805684,5.703782474656201,-3.7135310675447846,-3.801555906961317
er,300,0.13544588744588745,7.452763250499991,0.02236307005398103,0.019138762738280475,5.703782474656201,-1.99917569007359,-3.9559872891532586
ba,300,0.5514099892656438,8.48831725011781,0.019634830055904603,0.0434792064647758,5.703782474656201,-0.5952748508383264,-3.135449468240499
ws,300,0.020008166598611675,4.125326799882997,0.040400839679269454,0.010583436228772202,5.703782474656201,-3.911564780498643,-4.548370637148444
mixed,300,0.45596101127017974,9.15237375584844,0.018210212029438302,0.01993235902967654,5.703782474656201,-0.7853457815561335,-3.915360617580284
mixed,300,0.5110680489101542,11.93283616010287,0.013967062350517506,0.09580997969975265,5.703782474656201,-0.6712505728382074,-2.3453779899280205
er,499,0.14876988919720385,7.487809406054616,0.02225840130651571,0.02343951604606463,6.212606095751519,-1.9053478128381478,-3.7532892988985735
ba,500,0.5491348710373821,8.45137682904512,0.019720652627140935,0.0455509863336019,6.214608098422191,-0.5994093798643833,-3.088901048464021
ws,500,0.022004889975550123,4.155954003429372,0.040103106658336024,0.015869762565489748,6.214608098422191,-3.8164451352947055,-4.143276694842722
er,498,0.13964615941455338,7.029809665922958,0.0237085603433311,0.01858109672573343,6.210600077024653,-1.9686363275457441,-3.9855567034308836
ba,500,0.5923919876733436,9.38356044617851,0.01776155944458612,0.0416191635694555,6.214608098422191,-0.5235850338068588,-3.1791705279557627
ws,500,0.024152232251768723,4.167717778209618,0.03998991187408661,0.01648810732816309,6.214608098422191,-3.7233370671864674,-4.105055278007948
er,499,0.12992357074994515,7.057249322615723,0.023616377861635868,0.018287271260767065,6.212606095751519,-2.0408012219226435,-4.001495339320577
ba,500,0.6312208178438661,9.659435690281626,0.017254286069148975,0.1184103492568278,6.214608098422191,-0.4600979443890012,-2.1335907059163546
ws,500,0.02605308010713416,4.177485841182321,0.03989640491983004,0.01687278992397031,6.214608098422191,-3.6475808970536976,-4.081993753003867
er,499,0.16290235616167087,7.1504393725288775,0.023308590980713695,0.03040768693683265,6.212606095751519,-1.814598160997842,-3.4930269568889285
ba,500,0.5752447013487475,9.466464494927994,0.01760600979974778,0.009184677362505625,6.214608098422191,-0.5529580227608186,-4.690109816435869
ws,500,0.0234375,4.178269780372438,0.03988891943971376,0.0196899158012048,6.214608098422191,-3.7533753094950373,-3.927597876432268
mixed,500,0.5089074998854627,13.097336925494197,0.012725233199296193,0.01803420281615655,6.214608098422191,-0.6754870430598221,-4.015429718992248
mixed,500,0.4989493975903615,9.2158194053128,0.018084845127345435,0.012472272583427054,6.214608098422191,-0.6952485917980165,-4.384167117198816
