,pre,post,witvliet_1,witvliet_2,witvliet_3,witvliet_4,witvliet_5,witvliet_6,cel_jsh,cel_n2u,witvliet_8,pristi_s14,pristi_s15,conserved,conserved_adult,average_size,elegans_sum,pristi_sum,elegans_specific,pristi_specific,specific_adj,elegans_specific_adult,specific_adj_adult,witvliet_1_syn,witvliet_2_syn,witvliet_3_syn,witvliet_4_syn,witvliet_5_syn,witvliet_6_syn,cel_jsh_syn,cel_n2u_syn,witvliet_7_syn,witvliet_8_syn,pristi_s14_syn,pristi_s15_syn,conserved_syn,average_size_syn,elegans_sum_syn,pristi_sum_syn,elegans_specific_syn,pristi_specific_syn,specific_syn,average_cel_syn_size,average_pristi_syn_size
2295,AVB,DVA,1259400,1800704,1637880,1471320,2606400,2919966,20481,51158,6193200,61039,37468,11,4,1641728.7272727273,9,2,no,no,core,no,core,0,0,0,0,0,0,0,2,0,0,2,6,3,3.3333333333333335,1,2,no,no,not specific,0.2,4
2297,AVB,DVC,0,20224,3720,0,3480,213565,0,9586,640800,0,382,7,3,127393.85714285714,6,1,no,no,not specific,no,not specific,0,0,0,0,0,0,0,0,0,0,0,7,1,7,0,1,no,no,not specific,0,3.5
2299,AVB,FLP,32640,76032,100800,589920,50880,1118851,606,18678,730560,0,0,9,2,302107.44444444444,9,0,yes,no,cel_specific,no,cel_specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
2301,AVB,IL1,0,28416,0,0,0,0,387,540,74880,280,0,5,3,20900.6,4,1,no,no,not specific,no,not specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
2303,AVB,IL2,0,36352,0,37560,60960,0,0,825,84720,315,0,6,3,36788.666666666664,5,1,no,no,not specific,no,not specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
2305,AVB,OLQ,33000,43520,53280,176280,78720,150036,820,133,284160,1603,160,11,4,74701.09090909091,9,2,no,no,core,no,core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
2307,AVB,PVC,1098360,2522880,2366280,4313760,6390960,10099750,122540,204212,22778160,84041,66147,11,4,4549735.454545454,9,2,no,no,core,no,core,0,0,0,0,0,0,0,2,0,0,68,55,3,41.666666666666664,1,2,no,no,not specific,0.2,61.5
2309,AVB,PVP,2906400,5055488,2915280,3102120,4751520,6007878,58016,106350,12141120,66609,45379,11,4,3377832.727272727,9,2,no,no,core,no,core,0,0,0,0,0,0,0,0,0,0,38,30,2,34,0,2,no,yes,pristi_specific,0,34
2311,AVB,PVQ,154680,60160,0,0,28560,12503,528,97,38160,2927,4416,9,4,33559,7,2,no,no,not specific,no,core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
2313,AVB,PVR,258720,650496,423720,662640,2321520,295679,10702,15365,4800960,0,2121,10,3,944192.3,9,1,no,no,not specific,no,not specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
2315,AVB,PVT,0,0,0,4200,0,0,0,7688,3600,6784,0,4,3,5568,3,1,no,no,not specific,no,not specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
2317,AVB,RIA,0,0,2400,1200,148680,0,963,161,162960,1548,1461,8,4,39921.625,6,2,no,no,not specific,no,core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
2319,AVB,RIB,316920,413696,535560,447960,1155960,1092494,8373,12646,1759920,19459,19071,11,4,525641.7272727273,9,2,no,no,core,no,core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
2321,AVB,RIC,120840,139008,128400,148560,531600,734637,3734,19507,2544960,37370,20197,11,4,402619.36363636365,9,2,no,no,core,no,core,0,0,0,0,0,0,0,0,0,0,0,7,1,7,0,1,no,no,not specific,0,3.5
2323,AVB,RID,404640,763648,462480,691920,1580880,2120109,11465,22236,3482880,0,13826,10,3,955408.4,9,1,no,no,not specific,no,not specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
2325,AVB,RIF,910080,1184512,1046400,970680,2257560,2892593,21192,51809,5514960,50183,17334,11,4,1356118.4545454546,9,2,no,no,core,no,core,0,0,0,0,0,0,0,0,0,0,39,9,2,24,0,2,no,yes,pristi_specific,0,24
2327,AVB,RIG,421920,364800,433080,170400,472320,1979197,14874,14536,2289840,0,0,9,2,684551.8888888889,9,0,yes,no,cel_specific,no,cel_specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
2329,AVB,RIH,720,0,88920,0,826440,30412,0,5334,0,0,0,5,1,190365.2,5,0,no,no,not specific,no,not specific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
2331,AVB,RIM,609960,1214208,1060920,2160840,2817600,4095589,32788,55769,11649120,124912,76801,11,4,2172591.5454545454,9,2,no,no,core,no,core,0,0,0,0,0,0,0,0,0,0,38,7,2,22.5,0,2,no,yes,pristi_specific,0,22.5
2333,AVB,RIP,9480,0,21120,57120,603360,77383,2487,7735,1923840,30840,33940,10,4,276730.5,8,2,no,no,not specific,no,core,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,1,no,no,not specific,0,1
2335,AVB,RIR,452280,133120,369240,30600,80760,127057,388,618,51360,27388,33726,11,4,118776.09090909091,9,2,no,no,core,no,core,0,0,0,0,0,0,0,0,0,0,2,4,2,3,0,2,no,yes,pristi_specific,0,3
2337,AVB,RIS,79080,247552,312600,441600,1624800,888729,0,4718,2800320,50,2930,10,4,640237.9,8,2,no,no,not specific,no,core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,none,0,0
